run_id,strategy_id,peak_date,valley_date,recovery_date,drawdown_pct,days_to_valley,days_to_recover,recovered
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2005-09-09,2005-09-15,2005-10-03,-2.466614287944602,6,24,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2024-05-15,2024-05-16,2024-05-24,-2.4112161246254593,1,9,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2007-10-01,2007-10-03,2007-10-05,-2.4101958850638594,2,4,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2006-04-06,2006-04-11,2006-04-18,-2.4045928285858054,5,12,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2007-06-19,2007-06-26,2007-07-02,-2.306000806315822,7,13,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2020-12-08,2020-12-14,2020-12-18,-2.2878747667116284,6,10,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2003-10-21,2003-10-24,2003-10-28,-2.2363466617129513,3,7,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2007-10-18,2007-10-19,2007-10-23,-2.2164417969648076,1,5,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2017-02-15,2017-02-24,2017-03-01,-2.157053649024221,9,14,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2007-10-10,2007-10-11,2007-10-18,-2.0979196840356096,1,8,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2018-01-11,2018-01-16,2018-01-19,-2.0255779159792597,5,8,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2016-12-08,2016-12-14,2016-12-27,-2.0132116069855988,6,19,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2010-01-08,2010-01-12,2010-01-13,-1.9499089401327607,4,5,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2017-01-26,2017-01-31,2017-02-03,-1.9317895290727805,5,8,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2007-07-09,2007-07-10,2007-07-12,-1.8478812256741972,1,3,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2005-12-28,2005-12-30,2006-01-04,-1.7715501727267657,2,7,True
DD20ADAPT_105_HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,HYP_DD20_CAGR_SL12_TOPN8_GUARD18_10_V1,2024-03-04,2024-03-05,2024-03-06,-1.7628498781109614,1,2,True
