beats_spy_cagr;cagr;calmar;config_hash;constraint_gap_score;dd_limit;decision;excess_cagr;frontier_class;max_drawdown;months_beating_spy;months_losing_to_spy;passes_dd20;rank_under_constraint;rejection_reason;run_id;spy_cagr;strategy_id;trades;years_beating_spy;years_losing_to_spy
True;29,869214;0,975078;27ade0c0960c63fe;107,156613;-20,0;rejected;18,615314;high_cagr_dd_breach;-30,632628;43;32;False;;"insufficient_trades:509<3000; max_drawdown_breaches_dd20:-30.632628<-20.000000";AUTO_005;11,2539;HYP_AUTO_CARHART_MOMENTUM_SEED;509;6;1
True;29,869214;0,975078;27ade0c0960c63fe;107,156613;-20,0;rejected;18,615314;high_cagr_dd_breach;-30,632628;43;32;False;;"insufficient_trades:509<3000; max_drawdown_breaches_dd20:-30.632628<-20.000000";AUTO_001;11,2539;HYP_AUTO_CROSS_SECTIONAL_MOMENTUM_SEED;509;6;1
True;29,869214;0,975078;27ade0c0960c63fe;107,156613;-20,0;rejected;18,615314;high_cagr_dd_breach;-30,632628;43;32;False;;"insufficient_trades:509<3000; max_drawdown_breaches_dd20:-30.632628<-20.000000";AUTO_061;11,2539;HYP_AUTO_CR_10_54097_P2FHXD83;509;6;1
True;29,869214;0,975078;6bb0ec69d3a302ff;107,156613;-20,0;rejected;18,615314;high_cagr_dd_breach;-30,632628;43;32;False;;"insufficient_trades:509<3000; max_drawdown_breaches_dd20:-30.632628<-20.000000";AUTO_071;11,2539;HYP_AUTO_LOCAL_ROC_26W_PERSISTENCE_SEED;509;6;1
True;29,869214;0,975078;27ade0c0960c63fe;107,156613;-20,0;rejected;18,615314;high_cagr_dd_breach;-30,632628;43;32;False;;"insufficient_trades:509<3000; max_drawdown_breaches_dd20:-30.632628<-20.000000";AUTO_008;11,2539;HYP_AUTO_SECTOR_MOMENTUM_SEED;509;6;1
True;29,826983;0,440836;da54cb6ba6fcc375;476,648163;-20,0;rejected;23,024509;high_cagr_dd_breach;-67,659983;209;120;False;;"insufficient_trades:2855<3000; max_drawdown_breaches_dd20:-67.659983<-20.000000";RETEST_HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_CONF_CHANNEL_R2_035_V1_1999_2026_20260524_204011;6,802475;HYP_FSPACE_AUTO_002_RANK_CHANNEL_SLOPE_PCT_CONF_CHANNEL_R2_035_V1;2855;24;4
True;29,826983;0,440836;da54cb6ba6fcc375;476,648163;-20,0;rejected;23,024509;high_cagr_dd_breach;-67,659983;209;120;False;;"insufficient_trades:2855<3000; max_drawdown_breaches_dd20:-67.659983<-20.000000";RETEST_HYP_LIT_AUTO_002_QUALITY_SLOPE_R2_CONFIRM_V1_1999_2026_20260524_213156;6,802475;HYP_LIT_AUTO_002_QUALITY_SLOPE_R2_CONFIRM_V1;2855;24;4
True;29,768113;0,550198;ea11d3d5d7feeb15;341,064467;-20,0;rejected;22,965638;high_cagr_dd_breach;-54,10438;213;116;False;;"insufficient_trades:2938<3000; max_drawdown_breaches_dd20:-54.104380<-20.000000";DD_FIRST_09_HYP_DD_FIRST_AUTO002_TOPN_12_V1;6,802475;HYP_DD_FIRST_AUTO002_TOPN_12_V1;2938;22;6
True;29,733542;0,853569;619daaedd24e86c3;149,02288;-20,0;rejected;18,479642;high_cagr_dd_breach;-34,834388;47;28;False;;"insufficient_trades:963<3000; max_drawdown_breaches_dd20:-34.834388<-20.000000";EXP_136;11,2539;HYP_FSPACE_AUTO_002_RANK_CLOSE_SMA_50_SLOPE_5D_PCT_MKT_RELAXED_V1;963;6;1
True;29,501817;0,519411;7361a44a01ee341e;367,98606;-20,0;rejected;22,699343;high_cagr_dd_breach;-56,798606;210;119;False;;max_drawdown_breaches_dd20:-56.798606<-20.000000;RETEST_HYP_FSPACE_AUTO_002_RANK_RET_26W_PCT_MKT_RELAXED_V1_1999_2026_20260525_020447;6,802475;HYP_FSPACE_AUTO_002_RANK_RET_26W_PCT_MKT_RELAXED_V1;3672;20;8
True;29,501817;0,519411;b4731aabb6de74d9;367,98606;-20,0;rejected;22,699343;high_cagr_dd_breach;-56,798606;210;119;False;;max_drawdown_breaches_dd20:-56.798606<-20.000000;RETEST_HYP_FSPACE_AUTO_002_RANK_RET_26W_PCT_V1_1999_2026_20260524_200552;6,802475;HYP_FSPACE_AUTO_002_RANK_RET_26W_PCT_V1;3672;20;8
True;29,501817;0,519411;77e89356b0c8b139;367,98606;-20,0;rejected;22,699343;high_cagr_dd_breach;-56,798606;210;119;False;;max_drawdown_breaches_dd20:-56.798606<-20.000000;RETEST_HYP_LIT_AUTO_002_PAPER_LOW_VOLATILITY_ANOMALY_AND_MOMEN_DOWNSIDE_VOL13_RET26_V4_1999_2026_20260525_030001;6,802475;HYP_LIT_AUTO_002_PAPER_LOW_VOLATILITY_ANOMALY_AND_MOMEN_DOWNSIDE_VOL13_RET26_V4;3672;20;8
True;29,501817;0,519411;b4731aabb6de74d9;367,98606;-20,0;rejected;22,699343;high_cagr_dd_breach;-56,798606;210;119;False;;max_drawdown_breaches_dd20:-56.798606<-20.000000;RETEST_HYP_LIT_AUTO_002_TSMOM_RET26_CONFIRM_V1_1999_2026_20260524_193944;6,802475;HYP_LIT_AUTO_002_TSMOM_RET26_CONFIRM_V1;3672;20;8
True;29,501817;0,519411;b4731aabb6de74d9;367,98606;-20,0;rejected;22,699343;high_cagr_dd_breach;-56,798606;210;119;False;;max_drawdown_breaches_dd20:-56.798606<-20.000000;RETEST_HYP_LIT_AUTO_002_TSMOM_RET26_RANK_V2_1999_2026_20260524_234812;6,802475;HYP_LIT_AUTO_002_TSMOM_RET26_RANK_V2;3672;20;8
True;29,501817;0,519411;fc54ca38943e6c41;367,98606;-20,0;rejected;22,699343;high_cagr_dd_breach;-56,798606;210;119;False;;max_drawdown_breaches_dd20:-56.798606<-20.000000;RETEST_HYP_LIT_AUTO_002_VOL_MANAGED_RET26_REALIZED_VOL13_V4_1999_2026_20260525_031126;6,802475;HYP_LIT_AUTO_002_VOL_MANAGED_RET26_REALIZED_VOL13_V4;3672;20;8
True;28,823454;0,541218;ea11d3d5d7feeb15;332,56603;-20,0;rejected;22,020979;high_cagr_dd_breach;-53,256603;207;122;False;;max_drawdown_breaches_dd20:-53.256603<-20.000000;RETEST_HYP_AUTOREFINE_AUTO_002_TOPN_13_V1_1999_2026_20260524_224931;6,802475;HYP_AUTOREFINE_AUTO_002_TOPN_13_V1;3181;23;5
True;28,805776;0,89645;a5f5e99638636b9c;122,140297;-20,0;rejected;17,551876;high_cagr_dd_breach;-32,133163;47;28;False;;"insufficient_trades:574<3000; max_drawdown_breaches_dd20:-32.133163<-20.000000";AUTO_063;11,2539;HYP_AUTO_CR_10_1016_J_PACFIN_2024_102525;574;5;2
True;28,466417;0,918513;3d2daed339c4d00e;110,747107;-20,0;rejected;17,212517;high_cagr_dd_breach;-30,991844;43;32;False;;"insufficient_trades:514<3000; max_drawdown_breaches_dd20:-30.991844<-20.000000";AUTO_072;11,2539;HYP_AUTO_LOCAL_CLOSE_SMA13_TREND_SEED;514;5;2
